radius,rho,vpv,vsv,qka,qmu,vph,vsh,eta
1985767.67677,3700,6437.50273,3287.97975,57822.00000,380.74646,6437.50273,3287.97975,1.00000
2020005.05051,3700,6437.50273,3287.97975,57822.00000,373.89899,6437.50273,3287.97975,1.00000
2054242.42424,3700,6437.50273,3287.97975,57822.00000,367.05152,6437.50273,3287.97975,1.00000
2088479.79798,3700,6437.50273,3287.97975,57822.00000,360.20404,6437.50273,3287.97975,1.00000
2122717.17172,3700,6437.50273,3287.97975,57822.00000,353.35657,6437.50273,3287.97975,1.00000
2156954.54545,3700,6437.50273,3287.97975,57822.00000,346.50909,6437.50273,3287.97975,1.00000
2191191.91919,3700,6437.50273,3287.97975,57822.00000,339.66162,6437.50273,3287.97975,1.00000
2225429.29293,3700,6437.50273,3287.97975,57822.00000,332.81414,6437.50273,3287.97975,1.00000
2259666.66667,3700,6437.50273,3287.97975,57822.00000,325.96667,6437.50273,3287.97975,1.00000
2293904.04040,3700,6437.50273,3287.97975,57822.00000,319.11919,6437.50273,3287.97975,1.00000
2328141.41414,3700,6437.50273,3287.97975,57822.00000,312.27172,6437.50273,3287.97975,1.00000
2362378.78788,3700,6437.50273,3287.97975,57822.00000,305.42424,6437.50273,3287.97975,1.00000
2396616.16162,3700,6437.50273,3287.97975,57822.00000,298.57677,6437.50273,3287.97975,1.00000
2430853.53535,3700,6437.50273,3287.97975,57822.00000,291.72929,6437.50273,3287.97975,1.00000
2465090.90909,3700,6437.50273,3287.97975,57822.00000,284.88182,6437.50273,3287.97975,1.00000
2499328.28283,3700,6437.50273,3287.97975,57822.00000,278.03434,6437.50273,3287.97975,1.00000
2533565.65657,3700,6437.50273,3287.97975,57822.00000,271.18687,6437.50273,3287.97975,1.00000
2567803.03030,3700,6437.50273,3287.97975,57822.00000,264.33939,6437.50273,3287.97975,1.00000
2602040.40404,3700,6437.50273,3287.97975,57822.00000,257.49192,6437.50273,3287.97975,1.00000
2636277.77778,3700,6437.50273,3287.97975,57822.00000,250.64444,6437.50273,3287.97975,1.00000
2670515.15152,3700,6437.50273,3287.97975,57822.00000,243.79697,6437.50273,3287.97975,1.00000
2704752.52525,3700,6437.50273,3287.97975,57822.00000,236.94949,6437.50273,3287.97975,1.00000
2738989.89899,3700,6437.50273,3287.97975,57822.00000,230.10202,6437.50273,3287.97975,1.00000
2773227.27273,3700,6437.50273,3287.97975,57822.00000,223.25455,6437.50273,3287.97975,1.00000
2807464.64646,3700,6437.50273,3287.97975,57822.00000,216.40707,6437.50273,3287.97975,1.00000
2841702.02020,3700,6437.50273,3287.97975,57822.00000,209.55960,6437.50273,3287.97975,1.00000
2875939.39394,3700,6437.50273,3287.97975,57822.00000,202.71212,6437.50273,3287.97975,1.00000
2910176.76768,3700,6437.50273,3287.97975,57822.00000,195.86465,6437.50273,3287.97975,1.00000
2944414.14141,3700,6437.50273,3287.97975,57822.00000,189.01717,6437.50273,3287.97975,1.00000
2978651.51515,3700,6437.50273,3287.97975,57822.00000,182.16970,6437.50273,3287.97975,1.00000
3012888.88889,3700,6437.50273,3287.97975,57822.00000,175.32222,6437.50273,3287.97975,1.00000
3047126.26263,3700,6437.50273,3287.97975,57822.00000,168.47475,6437.50273,3287.97975,1.00000
3081363.63636,3700,6437.50273,3287.97975,57822.00000,161.62727,6437.50273,3287.97975,1.00000
3115601.01010,3700,6437.50273,3287.97975,57822.00000,154.77980,6437.50273,3287.97975,1.00000
3149838.38384,3700,6437.50273,3287.97975,57822.00000,147.93232,6437.50273,3287.97975,1.00000
3184075.75758,3700,6437.50273,3287.97975,57822.00000,141.08485,6437.50273,3287.97975,1.00000
3218313.13131,3700,6437.50273,3287.97975,57822.00000,134.23737,6437.50273,3287.97975,1.00000
3252550.50505,3700,6437.50273,3287.97975,57822.00000,127.38990,6437.50273,3287.97975,1.00000
3286787.87879,3700,6437.50273,3287.97975,57822.00000,120.54242,6437.50273,3287.97975,1.00000
3321025.25253,3700,6437.50273,3287.97975,57822.00000,113.69495,6437.50273,3287.97975,1.00000
3355262.62626,3700,6437.50273,3287.97975,57822.00000,106.84747,6437.50273,3287.97975,1.00000
3389500.00000,3700,6437.50273,3287.97975,57822.00000,100.00000,6437.50273,3287.97975,1.00000
